Conf_Decision Tree,Margin_Decision Tree,Conf_Random Forest,Margin_Random Forest,Conf_SVM,Margin_SVM,Conf_Naive Bayes,Margin_Naive Bayes,Target_Model_Index,Target_Model_Name
1.0,1.0,1.0,1.0,0.9998640446927146,0.9997280893854292,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9993296799657189,0.9986593599314377,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9610382212086381,0.922076442417276,0.9999999167943745,0.9999998335887493,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999588448397779,0.9999176896795559,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9991357069694521,0.9982714139389042,0.9999999917457992,0.9999999834915984,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999350433602877,0.9998700867205755,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998766403109821,0.9997532806219642,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999183641796592,0.9998367283593182,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9996524170811937,0.9993048341623872,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9990471672082092,0.9980943344164184,1.0,1.0,0,Decision Tree
1.0,1.0,0.99,0.98,0.9873447584375686,0.9746895168751373,0.9999930750292348,0.9999861500584691,0,Decision Tree
1.0,1.0,1.0,1.0,0.9993932233316857,0.9987864466633714,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997524223928985,0.9995048447857969,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997225197095205,0.999445039419041,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999239048488912,0.9998478096977823,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999490130553859,0.9998980261107718,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9951786030978529,0.9903572061957059,0.9999999999999671,0.999999999999934,0,Decision Tree
1.0,1.0,1.0,1.0,0.9996447105361572,0.9992894210723144,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9998552402011851,0.9997104804023702,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9999631938592868,0.9999263877185736,1.0,1.0,0,Decision Tree
1.0,1.0,1.0,1.0,0.9997112294281427,0.9994224588562853,1.0,1.0,0,Decision Tree
